description,price,image,market
.Clavos De Hierro De 1 1/2 Pugada -70 -,"$1.599,00",https://static.cotodigital3.com.ar/sitios/fotos/medium/00050300/00050392.jpg?3.0.165,Coto
.Clavos De Hierro 10 X 35 -68 -,"$1.599,00",https://static.cotodigital3.com.ar/sitios/fotos/medium/00050200/00050228.jpg?3.0.165,Coto
.Clavos De Hierro De 1 Pulgada -69 -,"$1.599,00",https://static.cotodigital3.com.ar/sitios/fotos/medium/00050300/00050391.jpg?3.0.165,Coto
Protectores Diarios Multiestilo Calipso 50u,"$1.616,38",https://static.cotodigital3.com.ar/sitios/fotos/medium/00571000/00571013.jpg?3.0.165,Coto
"Cinta De Empaque Marrón 48mmx40m Scotch
","$1.378,85",https://static.cotodigital3.com.ar/sitios/fotos/medium/00244300/00244309.jpg?3.0.165,Coto
"3M Cinta De Enmascarar, 18mm X 40m - Caja Precortada","$1.378,85",https://static.cotodigital3.com.ar/sitios/fotos/medium/00456700/00456793.jpg?3.0.165,Coto
Protectores Diarios Protección Normal NOSOTRAS 60 Uni,"$2.134,99",https://static.cotodigital3.com.ar/sitios/fotos/medium/00531000/00531029.jpg?3.0.165,Coto
Cloro En Pastillas Multiacción Nataclor 50g 1/4 Kg,"$9.199,00",https://static.cotodigital3.com.ar/sitios/fotos/medium/00571700/00571715.jpg?3.0.165,Coto
Precintos Nylon 3.6 X 140 Mm X 100 Und Colores Surtidos,"$3.699,00",https://static.cotodigital3.com.ar/sitios/fotos/medium/00103000/00103090.jpg?3.0.165,Coto
Protectores Diarios Protección Normal NOSOTRAS 100 Uni,"$3.873,99",https://static.cotodigital3.com.ar/sitios/fotos/medium/00531000/00531026.jpg?3.0.165,Coto
Folio Escolar Luma 30-05 10 Unidades,"$409,00",https://static.cotodigital3.com.ar/sitios/fotos/medium/00166200/00166250.jpg?3.0.165,Coto
