description,price,image,market
Sillón de Oficina Managua Negro,"$ 59.900,00",https://carrefourar.vtexassets.com/arquivos/ids/164624-170-170?v=637467714004930000&width=170&height=170&aspect=true,Carrefour
Estante slim Centro Estant 60 x 20 cm. wengué,"$ 11.900,00",https://carrefourar.vtexassets.com/arquivos/ids/165119-170-170?v=637467717771430000&width=170&height=170&aspect=true,Carrefour
Estante slim 60 x 20 Paraíso,"$ 8.990,00",https://carrefourar.vtexassets.com/arquivos/ids/315522-170-170?v=638175093742200000&width=170&height=170&aspect=true,Carrefour
"Smart tv 55"" Samsung 4k neo qled qn55qn85cagczb","$ 2.419.999,00",https://carrefourar.vtexassets.com/arquivos/ids/372511-170-170?v=638303134073000000&width=170&height=170&aspect=true,Carrefour
Cable HDMI Noga 3 Mts,"$ 3.599,00",https://carrefourar.vtexassets.com/arquivos/ids/322000-170-170?v=638189266951130000&width=170&height=170&aspect=true,Carrefour
"Smart TV android 75"" Philips 4K 75PUD8507 77","$ 1.499.999,00",https://carrefourar.vtexassets.com/arquivos/ids/262529-170-170?v=638035187266370000&width=170&height=170&aspect=true,Carrefour
"Soporte movil lcd/led de 26"" a 60""","$ 69.900,00",https://carrefourar.vtexassets.com/arquivos/ids/156881-170-170?v=637467542754730000&width=170&height=170&aspect=true,Carrefour
"Soporte de TV para Pared 10"" A 42""","$ 19.900,00",https://carrefourar.vtexassets.com/arquivos/ids/156812-170-170?v=637467542130030000&width=170&height=170&aspect=true,Carrefour
"Smart tv android 32"" TCL fhd l32s5400","$ 299.999,00",https://carrefourar.vtexassets.com/arquivos/ids/422889-170-170?v=638373192774900000&width=170&height=170&aspect=true,Carrefour
Control remoto WIZ smart con baterías,"$ 17.890,00",https://carrefourar.vtexassets.com/arquivos/ids/253331-170-170?v=637951614450300000&width=170&height=170&aspect=true,Carrefour
Cable HDMI Noga 5 Mts,"$ 5.599,00",https://carrefourar.vtexassets.com/arquivos/ids/322001-170-170?v=638189266959370000&width=170&height=170&aspect=true,Carrefour
"Smart TV UHD 4K 50"" BGH GOOGLE TV B5023US6G","$ 506.999,00",https://carrefourar.vtexassets.com/arquivos/ids/420676-170-170?v=638363545376200000&width=170&height=170&aspect=true,Carrefour
"Smart tv miniled android 65"" TCL 4k 65 c835","$ 1.499.999,00",https://carrefourar.vtexassets.com/arquivos/ids/419836-170-170?v=638361974360530000&width=170&height=170&aspect=true,Carrefour
"Soporte de TV para Pared Fijo One For All 19"" a 42"" WM4221","$ 10.900,00",https://carrefourar.vtexassets.com/arquivos/ids/156893-170-170?v=637467542861230000&width=170&height=170&aspect=true,Carrefour
"Soporte fijo TGW lcd/led de 13"" a 42"" HSTV81S","$ 17.900,00",https://carrefourar.vtexassets.com/arquivos/ids/156880-170-170?v=637467542746270000&width=170&height=170&aspect=true,Carrefour
"Soporte de TV para Pared con Doble Brazo 17"" A 42""","$ 31.900,00",https://carrefourar.vtexassets.com/arquivos/ids/156813-170-170?v=637467542138470000&width=170&height=170&aspect=true,Carrefour
"Soporte de TV para Pared con Brazo 17"" A 42""","$ 25.900,00",https://carrefourar.vtexassets.com/arquivos/ids/156608-170-170?v=637467462546100000&width=170&height=170&aspect=true,Carrefour
Smart TV LED HD 32'' TELEFUNKEN VIDAA TK3223H5,"$ 216.999,00",https://carrefourar.vtexassets.com/arquivos/ids/373213-170-170?v=638306401554470000&width=170&height=170&aspect=true,Carrefour
"Smart TV LED FHD 43"" TELEFUNKEN VIDAA TK4323FH5","$ 445.999,00",https://carrefourar.vtexassets.com/arquivos/ids/374300-170-170?v=638308401908230000&width=170&height=170&aspect=true,Carrefour
Aceto reducción ahumado Menoyo 250 cc.,"$ 2.150,00",https://carrefourar.vtexassets.com/arquivos/ids/217089-170-170?v=637697370601230000&width=170&height=170&aspect=true,Carrefour
Aceite de oliva Carrefour virgen lata 1 l.,"$ 18.224,00",https://carrefourar.vtexassets.com/arquivos/ids/167096-170-170?v=637467734083470000&width=170&height=170&aspect=true,Carrefour
Aceite de oliva Cocinero puro pet 500 cc.,"$ 7.480,00",https://carrefourar.vtexassets.com/arquivos/ids/336037-170-170?v=638218497626400000&width=170&height=170&aspect=true,Carrefour
Aceite de oliva Lira en lata 500 cc.,"$ 9.780,00",https://carrefourar.vtexassets.com/arquivos/ids/371183-170-170?v=638300723672200000&width=170&height=170&aspect=true,Carrefour
Jugo de limón Monte Alto 1 l.,"$ 1.645,00",https://carrefourar.vtexassets.com/arquivos/ids/182676-170-170?v=637468589559930000&width=170&height=170&aspect=true,Carrefour
Aceite de oliva extra virgen Morixe vidrio 500 cc.,"$ 8.995,00",https://carrefourar.vtexassets.com/arquivos/ids/208455-170-170?v=637636108462700000&width=170&height=170&aspect=true,Carrefour
Aceite de oliva Cocinero extra virgen pet 500 cc.,"$ 8.805,00",https://carrefourar.vtexassets.com/arquivos/ids/336036-170-170?v=638218497619230000&width=170&height=170&aspect=true,Carrefour
Aceto balsámico Casalta clásico pet 500 cc.,"$ 4.290,00",https://carrefourar.vtexassets.com/arquivos/ids/336039-170-170?v=638218497642330000&width=170&height=170&aspect=true,Carrefour
Aceto reducción limón Menoyo 250 cc.,"$ 2.150,00",https://carrefourar.vtexassets.com/arquivos/ids/217090-170-170?v=637697370814470000&width=170&height=170&aspect=true,Carrefour
Vinagre de manzana Menoyo 1 l.,"$ 2.350,00",https://carrefourar.vtexassets.com/arquivos/ids/209176-170-170?v=637643049421900000&width=170&height=170&aspect=true,Carrefour
Aceto balsámico Casalta reducción pet 500 cc.,"$ 5.885,00",https://carrefourar.vtexassets.com/arquivos/ids/336038-170-170?v=638218497634670000&width=170&height=170&aspect=true,Carrefour
Vinagre de vino Carrefour 500 cc.,"$ 1.081,00",https://carrefourar.vtexassets.com/arquivos/ids/386672-170-170?v=638318705462400000&width=170&height=170&aspect=true,Carrefour
Aceite de oliva Lira en lata 1 lt.,"$ 18.580,00",https://carrefourar.vtexassets.com/arquivos/ids/371182-170-170?v=638300723662670000&width=170&height=170&aspect=true,Carrefour
Aceite de oliva Carrefour extra virgen orgánico botella 500 cc.,"$ 13.499,10",https://carrefourar.vtexassets.com/arquivos/ids/167077-170-170?v=637467733964770000&width=170&height=170&aspect=true,Carrefour
Aceto balsámico Cocinero tipo reducción 500 cc.,"$ 4.750,00",https://carrefourar.vtexassets.com/arquivos/ids/312381-170-170?v=638163243236830000&width=170&height=170&aspect=true,Carrefour
Aceite de oliva gourmet Oliovita en lata 500 cc.,"$ 16.335,00",https://carrefourar.vtexassets.com/arquivos/ids/371235-170-170?v=638300724242600000&width=170&height=170&aspect=true,Carrefour
Estante slim 80 x 20 Paraíso,"$ 11.120,00",https://carrefourar.vtexassets.com/arquivos/ids/316282-170-170?v=638175922634730000&width=170&height=170&aspect=true,Carrefour
Taburete telescópico plegable portátil,"$ 29.900,00",https://carrefourar.vtexassets.com/arquivos/ids/353307-170-170?v=638249612774570000&width=170&height=170&aspect=true,Carrefour
Colchón de cuna Simplex 65 x 97 cm,"$ 51.990,00",https://carrefourar.vtexassets.com/arquivos/ids/411709-170-170?v=638348794875430000&width=170&height=170&aspect=true,Carrefour
Mesa oslo rectangular blanca 1.20 mts,"$ 239.900,00",https://carrefourar.vtexassets.com/arquivos/ids/315659-170-170?v=638175095081330000&width=170&height=170&aspect=true,Carrefour
Colchón de resortes soñador pita 80 x 190 x 22 cm.,"$ 259.990,00",https://carrefourar.vtexassets.com/arquivos/ids/250894-170-170?v=637932333159700000&width=170&height=170&aspect=true,Carrefour
Silla comedor cocina bar caño metal Tromen Runko NEGRA,"$ 62.370,00",https://carrefourar.vtexassets.com/arquivos/ids/417875-170-170?v=638358456456800000&width=170&height=170&aspect=true,Carrefour
Escritorio Centro Estant gamer negro y rojo,"$ 110.000,00",https://carrefourar.vtexassets.com/arquivos/ids/234459-170-170?v=637783897913900000&width=170&height=170&aspect=true,Carrefour
Colchón de espuma soñador aster 80 x 190 x 23 cm.,"$ 311.990,00",https://carrefourar.vtexassets.com/arquivos/ids/250895-170-170?v=637932333169400000&width=170&height=170&aspect=true,Carrefour
Escritorio Lisboa con cajón paraíso y blanco,"$ 64.900,00",https://carrefourar.vtexassets.com/arquivos/ids/165324-170-170?v=637467719731470000&width=170&height=170&aspect=true,Carrefour
Mesa de TV rack mueble con ruedas Mosconi CHOCOLATE,"$ 97.235,00",https://carrefourar.vtexassets.com/arquivos/ids/418128-170-170?v=638358477413400000&width=170&height=170&aspect=true,Carrefour
Organizador boho Centro Estant 180 cm,"$ 219.900,00",https://carrefourar.vtexassets.com/arquivos/ids/315565-170-170?v=638175094087300000&width=170&height=170&aspect=true,Carrefour
Cómoda chifonier melamina 6 Cajones Express Mosconi BLANCO,"$ 115.635,00",https://carrefourar.vtexassets.com/arquivos/ids/418223-170-170?v=638358480867700000&width=170&height=170&aspect=true,Carrefour
Sillón de Oficina Shelley Negro,"$ 69.900,00",https://carrefourar.vtexassets.com/arquivos/ids/164631-170-170?v=637467714045630000&width=170&height=170&aspect=true,Carrefour
Estante kit Centro Estant con soporte 80 x 20 cm. wengué,"$ 10.900,00",https://carrefourar.vtexassets.com/arquivos/ids/165013-170-170?v=637467716860000000&width=170&height=170&aspect=true,Carrefour
Cómoda chifonier melamina 5 Cajones Dakar Mosconi BLANCO,"$ 86.545,00",https://carrefourar.vtexassets.com/arquivos/ids/418211-170-170?v=638358480866470000&width=170&height=170&aspect=true,Carrefour
Estante slim Centro Estant 80 x 20 cm. blanco,"$ 11.120,00",https://carrefourar.vtexassets.com/arquivos/ids/165120-170-170?v=637467717778000000&width=170&height=170&aspect=true,Carrefour
Smart Tv Samsung 4k Uhd AU7000 43 HDR UN43AU7000GCZ,"$ 554.999,00",https://carrefourar.vtexassets.com/arquivos/ids/387931-170-170?v=638319509504470000&width=170&height=170&aspect=true,Carrefour
"Smart TV 32"" Noblex android HD DK32X7000","$ 299.999,00",https://carrefourar.vtexassets.com/arquivos/ids/308368-170-170?v=638144159738170000&width=170&height=170&aspect=true,Carrefour
"Smart TV UHD 4K 65"" BGH Google TV B6523US6G","$ 944.999,00",https://carrefourar.vtexassets.com/arquivos/ids/420667-170-170?v=638363544486370000&width=170&height=170&aspect=true,Carrefour
Smart Tv Samsung 4K Crystal UHD BU8000 75 HDR,"$ 1.749.999,00",https://carrefourar.vtexassets.com/arquivos/ids/387886-170-170?v=638319508204900000&width=170&height=170&aspect=true,Carrefour
"Smart TV 4K UHD 55"" BGH Google TV B5523US6G","$ 599.999,00",https://carrefourar.vtexassets.com/arquivos/ids/420673-170-170?v=638363544762370000&width=170&height=170&aspect=true,Carrefour
Smart TV Samsung QLED Quantum Lite 4K 65 Pantone HDR Q65Cs,"$ 1.319.999,00",https://carrefourar.vtexassets.com/arquivos/ids/427654-170-170?v=638387843097770000&width=170&height=170&aspect=true,Carrefour
Smart TV NEO 65 QLED QN65QN85BAGCZB,"$ 2.529.999,00",https://carrefourar.vtexassets.com/arquivos/ids/387819-170-170?v=638319506765270000&width=170&height=170&aspect=true,Carrefour
"Smart tv miniled android 55"" TCL 4k l55 c835","$ 999.999,00",https://carrefourar.vtexassets.com/arquivos/ids/419829-170-170?v=638361974297070000&width=170&height=170&aspect=true,Carrefour
Smart Tv Samsung 4k Neo Qled QN90B 43 Gaming QN43QN90BAGCZB,"$ 1.199.999,00",https://carrefourar.vtexassets.com/arquivos/ids/387921-170-170?v=638319509326070000&width=170&height=170&aspect=true,Carrefour
Smart TV Samsung 4K UHD Crystal Processor 50 HDR CU7000,"$ 629.999,00",https://carrefourar.vtexassets.com/arquivos/ids/427616-170-170?v=638387842442800000&width=170&height=170&aspect=true,Carrefour
Smart TV The Frame 55 QN55LS03BAGCZBTBEIGE,"$ 1.699.999,00",https://carrefourar.vtexassets.com/arquivos/ids/387842-170-170?v=638319507386930000&width=170&height=170&aspect=true,Carrefour
Smart TV Samsung 4K UHD Crystal Processor 55 HDR CU7000,"$ 734.999,00",https://carrefourar.vtexassets.com/arquivos/ids/427633-170-170?v=638387842682870000&width=170&height=170&aspect=true,Carrefour
"Smart TV UHD 4K 65"" SHARP GOOGLE TV S6523US6G","$ 999.999,00",https://carrefourar.vtexassets.com/arquivos/ids/426955-170-170?v=638386819324570000&width=170&height=170&aspect=true,Carrefour
"Smart TV UHD 4K 50"" SHARP GOOGLE TV S5023US6G","$ 567.999,00",https://carrefourar.vtexassets.com/arquivos/ids/426945-170-170?v=638386818529800000&width=170&height=170&aspect=true,Carrefour
Smart TV Samsung Neo QLED Quantum Matrix 4K 50 Gamer QN90C,"$ 1.999.999,00",https://carrefourar.vtexassets.com/arquivos/ids/427636-170-170?v=638387842905830000&width=170&height=170&aspect=true,Carrefour
Smart TV Samsung The Frame Serie B 23 4K 75 Marco Blco,"$ 2.969.999,00",https://carrefourar.vtexassets.com/arquivos/ids/427667-170-170?v=638387843295000000&width=170&height=170&aspect=true,Carrefour
Aceite de canola Carrefour sin gluten botella 500 cc.,"$ 4.507,08",https://carrefourar.vtexassets.com/arquivos/ids/233082-170-170?v=637775203706070000&width=170&height=170&aspect=true,Carrefour
Vinagre Favinco saborizado finas hierbas 1 lt.,"$ 999,00",https://carrefourar.vtexassets.com/arquivos/ids/265764-170-170?v=638048949114800000&width=170&height=170&aspect=true,Carrefour
Aceto balsámico Oliovita reducción 250 cc.,"$ 3.770,00",https://carrefourar.vtexassets.com/arquivos/ids/359543-170-170?v=638258156972800000&width=170&height=170&aspect=true,Carrefour
Aceite de coco sabor ajo Chiagraal en frasco 180 ml.,"$ 6.065,00",https://carrefourar.vtexassets.com/arquivos/ids/410405-170-170?v=638345481513270000&width=170&height=170&aspect=true,Carrefour
