description,price,supermercado
PAMPERS Siempre Limpio Toallitas Húmedas 48 Unidades,"$3.213,59"
Toallas Femeninas Clásicas Suave Nosotras 16u,"$1.078,99"
Colines Colores Varios Tao 12u,"$822,00"
Velas Rayadas Con Base Multicolor 24u,"$1.649,00"
Pack X24 Velas Rayadas Con Base Celestes,"$1.649,00"
Pack X 24 Unidades Velas Rayadas Con Base Rosa,"$1.649,00"
Pastillas Para Encendido Humos Cja 1 Uni,"$829,00"
Chips X 8 Uni,"$557,99"
Bolsa Residuo 45x60 Mister Trapo 10u,"$697,41"
Colines Pequeños Tao Bsa 12 Uni,"$838,00"
Vaso Descartable Rosa Party ,"$699,00"
Vaso Descartable Celeste Cielo ,"$699,00"
Precintos Nylon 4.8 X 200 Mm X 100u,"$6.999,00"
Toallas Femeninas Super Anatómicas Calipso 16u.,"$1.132,99"
Toallas Femeninas SIEMPRE LIBRE Especial Seca Con Alas X 16 Un.,"$1.141,75"
P.Higienico 80 Mts Campanita X 4 32 M2,"$2.289,34"
Lapices De Color PAPER MATE Sylvapen 12 Unidades,"$859,00"
Protectores Diarios Sin Perfume Tanga Carefree 20u,"$1.449,99"
Colines Medianos Tao Bsa 12 Uni,"$876,00"
Apósitos Adhesivos CURITAS Sensitive Para Todo Tipo De Piel X 20 Unidades,"$1.464,99"
Papel De Calcar Luma Repuesto N5 8 Hojas,"$589,00"
Protectores Todos Los Días Tanga Carefree 60u,"$4.469,99"
Filtro De Papel Para Cafe Nº4 X 30u,"$2.239,00"
Setx10 Marcadores Escolares Pinto 2210,"$749,00"
Broche Madera TU CASA X12u,"$899,00"
Toallitas Húmedas Para Bebé Johnson'S Recién Nacido X 48 Un.,"$3.628,99"
Toallitas Húmedas Para Bebé Johnsons Baby Extra Cuidado X 48 Un.,"$3.628,99"
Lapices Cortos De Color Faber-Castell Splash 12 Unidades,"$909,00"
Globos Perlados 12'' X 10 Unidades Rosa,"$759,00"
Globos Perlados 12 Surtidos X 10 ,"$759,00"
Globos Perlados 12'' X 10 Amarillo,"$759,00"
Globos Perlados 12'' X 10 Celeste,"$759,00"
Bolsa De Residuo Mediana 50x70 Flowi 20u.,"$1.533,98"
Espiral Insecticida Repelente RAID 4 Uni,"$308,00"
Toallas Humedas Con Aroma Bebé Pampers Paq 96 Uni,"$7.400,38"
Palillos Interdent Soft Picks Adv Gum Bli 36 Uni,"$2.775,99"
Lapices De Grafito FILGO Sigma 12 Unidades,"$929,00"
Bolsa Residuo 45x60 Cristal Del Lago X20 Uni,"$1.551,13"
Sorbetes Polipapel X 24 Unidades Unicornio Sweet,"$1.879,00"
Sorbetes Polipapel X 24 Unidades Corazones ,"$1.879,00"
Sorbetes De Polipapel X 24 Unidades Anana ,"$1.879,00"
Sorbetes De Polipapel X 24 Unidades Sirenita ,"$1.879,00"
description,price
Sorbetes Polipapel X 24 Unidades Multicolor ,"$1.879,00"
Sorbetes Polipapel X 24 Unidadessandia ,"$1.879,00"
Sorbetes Polipapel X 24 Unidades Zorrito,"$1.879,00"
Sorbetes De Polipapel X 24 Unidades Frutilla ,"$1.879,00"
Sorbetes Polipapel X24 Calaca ,"$1.879,00"
Sorbetes Polipapel X 24 Unidades Sweet Colors,"$1.879,00"
Sorbetes Polipapel X 24 Flowers ,"$1.879,00"
Sorbetes Polipapel X 24 Unidades Futbol,"$1.879,00"
Folio A4 Luma 30-10 10 Unidades,"$789,00"
Topes Autoadhesivos Mini X 24 Unid .,"$1.899,00"
Sorbetes De Polipapel X 24 Unidades Plateados,"$1.909,00"
Señalado Galera SIFAP Varios Colores 12 Unidades,"$959,00"
Toalla Femenina Adapt Seca Con Alas Siempre Libre 16u,"$1.280,23"
Toallitas Húmedas Para Bebé Johnsons Hora Del Sueño X 96 Un.,"$7.729,99"
Lapices De Colores Simball Innovation 12 Unidades,"$969,00"
Elasticos Sin Metal TAO Medianos Bsa 12 Uni,"$972,00"
Toallas Higienicas Protección Normal Suave Nosotras 16 U,"$1.295,99"
Set Marcadores Largos Al Agua Colores Surtidos X10,"$829,00"
Marcador SIMBALL Largo Al Agua Colores Surtidos X 6,"$499,00"
Toalla Adaptables Ultra Suave Sin Alas SIEMPRE LIBRE 8 Uni,"$665,39"
Setx6 Marcadores Escolares Pinto 2210 FILGO,"$509,00"
Apósitos Adhesivos CURITAS Be Happy Para Todo Tipo De Piel X 16 Unidades,"$1.368,99"
Toallitas Húmedas Para Bebé Johnsons Hora Del Sueño X 48 Un.,"$4.122,99"
Setx20 Marcadores FILGO Escolares Pinto 2210,"$1.719,00"
Bolsa Residuo 50x70 Mister Trapo 10u,"$867,57"
ALWAYS Xtra Diarios Sin Perfume Protectores Diarios 40 Unidades,"$3.488,17"
ALWAYS Xtra Diarios Respirable Protectores Diarios 40 Unidades,"$3.488,17"
Protectores Todos Los Dias Carefree 20u,"$1.749,99"
Colines Grandes Tao Bsa 12 Uni,"$1.050,00"
Toallas Femeninas Antibacterial Kotex Paq 10 Uni,"$875,45"
Toalla Femenina Especial Suave Con Alas Siempre Libre 8 Uni,"$701,99"
Bolsas Herméticas ZIPLOC Para Conservar Medianas 24un,"$2.109,16"
Folio RIVADAVIA Escolar 10 Unidades,"$879,00"
Cepillo Interdental GUM Soft Picks Blister 15 Unidades,"$1.320,99"
Pack X 24 Velas Tornillo Finitas De 17cm Blancas ,"$2.129,00"
Pack X 24 Velas Tornillo Finitas De 17 Cm Celestes,"$2.129,00"
Pack X24 Velas Tornillo Finitas 17cm Rosas ,"$2.129,00"
Pack X24 Velas Tornillo Finitas 17cm Multicolor ,"$2.129,00"
Insecticida RAID Contra Mosquitos Tabletas Repuesto 12un,"$1.065,00"
Colines Medianos Tao Cja 12 Uni,"$1.065,99"
Toallitas Húmedas PAMPERS Sin Perfume 48 Un,"$4.269,39"
Toallitas Húmedas PAMPERS Aroma Aloe Vera 48 Un,"$4.269,39"
Toallitas Húmedas PAMPERS Higiene Completa 48 Un,"$4.269,39"
Toallitas Húmedas PAMPERS Aroma De Bebé 48 Un,"$4.269,39"
Papel Higiénico Max Hoja Simple 4x100m Higienol Paq 40 M2,"$3.558,88"
Sobre Papel Manila Medoro 229x324mm X 10,"$899,00"
Tapa Casera Para Canelones,"$89,99"
Petit ASURIN 40 X 50 Cm 12 U. Transportable,"$1.104,40"
Crayones MAPED Color Peps Wax 24 Unidades  ,"$2.209,00"
ALWAYS Xtra Diarios Respirable Protectores Diarios 80 Unidades,"$7.370,82"
Paquete De Tachas Doradas,"$1.199,00"
Tabletas Insecticidas Repelente Contra Mosquitos 24 Noches Fuyi 24uni,"$2.220,00"
Toallas Higienicas Invisible Suave Nosotras 30u,"$2.775,99"
Bolsas De Residuos TASK 45 X 60 Cm 20 U. Pequeña Multiuso,"$1.861,67"
Toallas Femeninas SIEMPRE LIBRE Adapt Plus C/Alas X 16 Un.,"$1.490,23"
Toallas Femeninas SIEMPRE LIBRE Normal X 16 Un.,"$1.490,23"
Boligrafo PAPER MATE Erasermate Azul 1 Unidad,"$1.129,00"
Sobre Tarjeta Platea Medoro 120 Gr X 10,"$949,00"
