description,price,brand,image,market
"Barra De Sonido Stromberg Subw 50wrms Subw 5,2",$289.000,STROMBERG,https://jumboargentinaio.vtexassets.com/arquivos/ids/690320-500-auto?v=637811625937000000&width=500&height=auto&aspect=true,Jumbo
Barra De Sonido Stromberg Stage 2x3 Tweeter,$224.000,STROMBERG,https://jumboargentinaio.vtexassets.com/arquivos/ids/698705-500-auto?v=637872105940530000&width=500&height=auto&aspect=true,Jumbo
Notebook Dell Inspiron 3525 Amd Ryzen 5 5500u,"$1.039.999,2",DELL,https://jumboargentinaio.vtexassets.com/arquivos/ids/795888-500-auto?v=638314365790670000&width=500&height=auto&aspect=true,Jumbo
Notebook Lenovo Ip 3 15igl05 N4120 4g 256g 1,"$493.583,2",LENOVO,https://jumboargentinaio.vtexassets.com/arquivos/ids/787994-500-auto?v=638247945895700000&width=500&height=auto&aspect=true,Jumbo
Notebook Dell Inspiron 3520 11th Gen,"$695.998,4",DELL,https://jumboargentinaio.vtexassets.com/arquivos/ids/795887-500-auto?v=638314365787200000&width=500&height=auto&aspect=true,Jumbo
Notebook Dell Inspiron 3520 Intel I3 11th Gen,"$579.998,4",DELL,https://jumboargentinaio.vtexassets.com/arquivos/ids/795889-500-auto?v=638314365798470000&width=500&height=auto&aspect=true,Jumbo
"Notebook Hp I5 12 Gen 1235u-8gb 512 Gb Ssd 15,","$1.319.999,2",HP,https://jumboargentinaio.vtexassets.com/arquivos/ids/792362-500-auto?v=638296142997970000&width=500&height=auto&aspect=true,Jumbo
Monitor Samsung 24' Fhd Lf24t350fhlczb,$229.499,SAMSUNG,https://jumboargentinaio.vtexassets.com/arquivos/ids/658816-500-auto?v=637643241861800000&width=500&height=auto&aspect=true,Jumbo
Monitor Samsung 24 Odyssey Crg5,"$319.999,2",SAMSUNG,https://jumboargentinaio.vtexassets.com/arquivos/ids/789553-500-auto?v=638265225708830000&width=500&height=auto&aspect=true,Jumbo
Notebook Lenovo Ip 3 14itl6 I3 8gb 4g$g 256g,"$603.198,4",LENOVO,https://jumboargentinaio.vtexassets.com/arquivos/ids/788001-500-auto?v=638247945915330000&width=500&height=auto&aspect=true,Jumbo
Notebook Hp Amd Ryzen™ 7 5700u- 8 Gb - 512gb S,"$1.319.999,2",HP,https://jumboargentinaio.vtexassets.com/arquivos/ids/795898-500-auto?v=638315121646600000&width=500&height=auto&aspect=true,Jumbo
Monitor Samsung 22' Fhd Lf22t350fhlczb,$199.999,SAMSUNG,https://jumboargentinaio.vtexassets.com/arquivos/ids/660740-500-auto?v=637654473287830000&width=500&height=auto&aspect=true,Jumbo
"Samsung Smart Monitor M5 32""",$499.999,SAMSUNG,https://jumboargentinaio.vtexassets.com/arquivos/ids/783545-500-auto?v=638212521819130000&width=500&height=auto&aspect=true,Jumbo
Teclado + Mouse Logitech Mk235 Wireless,"$27.999,2",LOGITECH,https://jumboargentinaio.vtexassets.com/arquivos/ids/584289-500-auto?v=637245906136830000&width=500&height=auto&aspect=true,Jumbo
Impresora Laser Brother Hl1212w,"$215.999,2",BROTHER,https://jumboargentinaio.vtexassets.com/arquivos/ids/598942-500-auto?v=637334034159330000&width=500&height=auto&aspect=true,Jumbo
Impresora Hp Dj Ink Mfp Color 2775,"$120.063,2",HP,https://jumboargentinaio.vtexassets.com/arquivos/ids/623261-500-auto?v=637493023191800000&width=500&height=auto&aspect=true,Jumbo
Botella De Tinta Negra Canon Gi-190 Bk,"$9.519,2",CANON,https://jumboargentinaio.vtexassets.com/arquivos/ids/606041-500-auto?v=637371192527330000&width=500&height=auto&aspect=true,Jumbo
Extensor De Señal Tp Link Tl-wa850re,"$30.399,2",TPLINK,https://jumboargentinaio.vtexassets.com/arquivos/ids/488563-500-auto?v=636744320087370000&width=500&height=auto&aspect=true,Jumbo
Botella De Tinta Magenta Canon Gi-190 Bk,"$9.519,2",CANON,https://jumboargentinaio.vtexassets.com/arquivos/ids/606044-500-auto?v=637371192536100000&width=500&height=auto&aspect=true,Jumbo
Botella De Tinta Yellow Canon Gi-190 Bk,"$9.519,2",CANON,https://jumboargentinaio.vtexassets.com/arquivos/ids/606043-500-auto?v=637371192533630000&width=500&height=auto&aspect=true,Jumbo
Router Wifi Tp-link Tl-wr940n,"$32.199,2",TPLINK,https://jumboargentinaio.vtexassets.com/arquivos/ids/714264-500-auto?v=637956562414400000&width=500&height=auto&aspect=true,Jumbo
Router Wifi Tp-link Mw325r,"$22.399,2",TPLINK,https://jumboargentinaio.vtexassets.com/arquivos/ids/714268-500-auto?v=637956562428000000&width=500&height=auto&aspect=true,Jumbo
Cartucho De Tinta Hp 662 Tricolor Original,"$23.999,2",HP,https://jumboargentinaio.vtexassets.com/arquivos/ids/584936-500-auto?v=637250226167670000&width=500&height=auto&aspect=true,Jumbo
Tecladomouse Genius Luxemate Q8000 Blk,"$17.479,2",GENIUS,https://jumboargentinaio.vtexassets.com/arquivos/ids/781541-500-auto?v=638197833981300000&width=500&height=auto&aspect=true,Jumbo
Mouse Genius Micro Traveler 900s Usb Blk,"$12.799,2",GENIUS,https://jumboargentinaio.vtexassets.com/arquivos/ids/781539-500-auto?v=638197833897300000&width=500&height=auto&aspect=true,Jumbo
Microsd Kingston 128gb Con Adaptador Clase,"$16.799,2",KINGSTON,https://jumboargentinaio.vtexassets.com/arquivos/ids/788940-500-auto?v=638258098412400000&width=500&height=auto&aspect=true,Jumbo
Notebook Hp Celeron N4120-4gb - 256 Gb Ssd 14,"$533.598,4",HP,https://jumboargentinaio.vtexassets.com/arquivos/ids/795893-500-auto?v=638315013651870000&width=500&height=auto&aspect=true,Jumbo
"Notebook Lenovo Loq 15,6 Core I5 8gb 512ssd Rt","$1.159.998,4",LENOVO,https://jumboargentinaio.vtexassets.com/arquivos/ids/795886-500-auto?v=638314365781300000&width=500&height=auto&aspect=true,Jumbo
Impresora Con Pantalla Lcd Canon Pixma G2110,"$365.398,4",CANON,https://jumboargentinaio.vtexassets.com/arquivos/ids/637986-500-auto?v=637544430780500000&width=500&height=auto&aspect=true,Jumbo
Impresora Multifunción Laser Brother Dcp1617nw,"$455.999,2",BROTHER,https://jumboargentinaio.vtexassets.com/arquivos/ids/598943-500-auto?v=637334034162000000&width=500&height=auto&aspect=true,Jumbo
Samsung Galaxy Tab S9 Graphite,"$1.200.598,4",SAMSUNG,https://jumboargentinaio.vtexassets.com/arquivos/ids/790386-500-auto?v=638272893761000000&width=500&height=auto&aspect=true,Jumbo
Router Wifi Tp-link Tl-wr820n,"$22.999,2",TPLINK,https://jumboargentinaio.vtexassets.com/arquivos/ids/714270-500-auto?v=637956562435370000&width=500&height=auto&aspect=true,Jumbo
Teclado Genius Smart Kb-100 Negro Usb,"$23.999,2",GENIUS,https://jumboargentinaio.vtexassets.com/arquivos/ids/534926-500-auto?v=636942643078130000&width=500&height=auto&aspect=true,Jumbo
Mouse Genius Wired Dx-110 Usb Rojo,"$10.399,2",GENIUS,https://jumboargentinaio.vtexassets.com/arquivos/ids/485954-500-auto?v=636736177197700000&width=500&height=auto&aspect=true,Jumbo
Mouse Genius Micro Traveler 900s Usb Gr,"$14.719,2",GENIUS,https://jumboargentinaio.vtexassets.com/arquivos/ids/781544-500-auto?v=638197833989000000&width=500&height=auto&aspect=true,Jumbo
Mouse Genius Nx 7000 Blueeye Red G5,"$17.599,2",GENIUS,https://jumboargentinaio.vtexassets.com/arquivos/ids/781542-500-auto?v=638197833983530000&width=500&height=auto&aspect=true,Jumbo
Mouse Genius Nx 7000 Blueeye White G5,"$18.399,2",GENIUS,https://jumboargentinaio.vtexassets.com/arquivos/ids/781540-500-auto?v=638197833976470000&width=500&height=auto&aspect=true,Jumbo
Cartucho De Tinta Hp 667 Tricolor,"$23.999,2",HP,https://jumboargentinaio.vtexassets.com/arquivos/ids/617266-500-auto?v=637437282643830000&width=500&height=auto&aspect=true,Jumbo
Porta Telefono Goodyear Iael Articulado Succion,"$15.999,2",IAEL,https://jumboargentinaio.vtexassets.com/arquivos/ids/780715-500-auto?v=638192436447130000&width=500&height=auto&aspect=true,Jumbo
Cartucho De Tinta Hp 664 Tricolor Original,"$23.999,2",HP,https://jumboargentinaio.vtexassets.com/arquivos/ids/584934-500-auto?v=637250226158300000&width=500&height=auto&aspect=true,Jumbo
Cartucho De Tinta Hp 664 Negra Original,"$23.999,2",HP,https://jumboargentinaio.vtexassets.com/arquivos/ids/584933-500-auto?v=637250226155930000&width=500&height=auto&aspect=true,Jumbo
Cartucho De Tinta Hp 662 Negra Original,"$23.999,2",HP,https://jumboargentinaio.vtexassets.com/arquivos/ids/584937-500-auto?v=637250226175500000&width=500&height=auto&aspect=true,Jumbo
Cartucho De Tinta Hp 667 Negro,"$23.999,2",HP,https://jumboargentinaio.vtexassets.com/arquivos/ids/617265-500-auto?v=637437282641470000&width=500&height=auto&aspect=true,Jumbo
Celular Samsung Galaxy A14 Silver 128gb,$359.999,SAMSUNG,https://jumboargentinaio.vtexassets.com/arquivos/ids/777786-500-auto?v=638175410861700000&width=500&height=auto&aspect=true,Jumbo
Moto E22 4&4 Niagara Motorola,$130.498,MOTOROLA,https://jumboargentinaio.vtexassets.com/arquivos/ids/788924-500-auto?v=638258098363700000&width=500&height=auto&aspect=true,Jumbo
Celular Samsung Galaxy A04 128gb Negro,$199.999,SAMSUNG,https://jumboargentinaio.vtexassets.com/arquivos/ids/759385-500-auto?v=638041450311030000&width=500&height=auto&aspect=true,Jumbo
Celular Motorola Moto G23 Azul,$339.999,MOTOROLA,https://jumboargentinaio.vtexassets.com/arquivos/ids/779048-500-auto?v=638186494241930000&width=500&height=auto&aspect=true,Jumbo
Celular Smartphone Xiaomi Redmi Note 11 Negro,$339.999,XIAOMI,https://jumboargentinaio.vtexassets.com/arquivos/ids/719412-500-auto?v=637987922503230000&width=500&height=auto&aspect=true,Jumbo
Celular Smartphone Xiaomi Redmi Note 11 Verde,$339.999,XIAOMI,https://jumboargentinaio.vtexassets.com/arquivos/ids/741091-500-auto?v=637997421556330000&width=500&height=auto&aspect=true,Jumbo
Celular Samsung Galaxy A04e 32gb Negro,$139.999,SAMSUNG,https://jumboargentinaio.vtexassets.com/arquivos/ids/777548-500-auto?v=638175262285170000&width=500&height=auto&aspect=true,Jumbo
Galaxy Z 512gb Phantom Black - Samsung,$3.649.999,SAMSUNG,https://jumboargentinaio.vtexassets.com/arquivos/ids/790570-500-auto?v=638276457802130000&width=500&height=auto&aspect=true,Jumbo
Celular Samsung Galaxy A23 5g Negro,$589.999,SAMSUNG,https://jumboargentinaio.vtexassets.com/arquivos/ids/772646-500-auto?v=638138110026670000&width=500&height=auto&aspect=true,Jumbo
Celular Samsung Galaxy A04 64gb Negro,$164.999,SAMSUNG,https://jumboargentinaio.vtexassets.com/arquivos/ids/759563-500-auto?v=638041450946470000&width=500&height=auto&aspect=true,Jumbo
Xiaomi Redmi 10 C Graphite Gray,$249.999,XIAOMI,https://jumboargentinaio.vtexassets.com/arquivos/ids/790394-500-auto?v=638273001634630000&width=500&height=auto&aspect=true,Jumbo
Xiaomi Redmi 10 C Mint Green,$249.999,XIAOMI,https://jumboargentinaio.vtexassets.com/arquivos/ids/790395-500-auto?v=638273001649800000&width=500&height=auto&aspect=true,Jumbo
Celular Motorola Moto G13 Special Edition Azul,$269.999,MOTOROLA,https://jumboargentinaio.vtexassets.com/arquivos/ids/779047-500-auto?v=638186494238200000&width=500&height=auto&aspect=true,Jumbo
Xiaomi Redmi 10 C Ocean Blue,$249.999,XIAOMI,https://jumboargentinaio.vtexassets.com/arquivos/ids/790396-500-auto?v=638273001652770000&width=500&height=auto&aspect=true,Jumbo
Motorola Cargador Pared Turbopower 20w Qc3 Typ,$20.699,MOTOROLA,https://jumboargentinaio.vtexassets.com/arquivos/ids/787985-500-auto?v=638247945867600000&width=500&height=auto&aspect=true,Jumbo
Cable Micro Usb Negro 2mts Nex,$2.642,NEX,https://jumboargentinaio.vtexassets.com/arquivos/ids/800388-500-auto?v=638354979018670000&width=500&height=auto&aspect=true,Jumbo
Porta Celular Succion Iael,$11.999,IAEL,https://jumboargentinaio.vtexassets.com/arquivos/ids/796085-500-auto?v=638315446278500000&width=500&height=auto&aspect=true,Jumbo
Cable Hdmi 2.0 2mts Nex,$3.603,NEX,https://jumboargentinaio.vtexassets.com/arquivos/ids/806261-500-auto?v=638400657698900000&width=500&height=auto&aspect=true,Jumbo
Motorola Cargador Pared Turbopower 20w Qc3 Mic,$17.499,MOTOROLA,https://jumboargentinaio.vtexassets.com/arquivos/ids/787996-500-auto?v=638247945901330000&width=500&height=auto&aspect=true,Jumbo
Soporte Celular/gps Iael Va-042,$7.999,IAEL,https://jumboargentinaio.vtexassets.com/arquivos/ids/805021-500-auto?v=638388670883200000&width=500&height=auto&aspect=true,Jumbo
Cargador De Pared Con 1 Puerto Usb Tgw,$7.105,TAGWOOD,https://jumboargentinaio.vtexassets.com/arquivos/ids/677455-500-auto?v=637733001876500000&width=500&height=auto&aspect=true,Jumbo
Cable Hdmi 2.0 5mts Nex,$4.804,NEX,https://jumboargentinaio.vtexassets.com/arquivos/ids/806260-500-auto?v=638400657694870000&width=500&height=auto&aspect=true,Jumbo
Tv 43 Bgh Led B4322fs5a,$369.999,BGH,https://jumboargentinaio.vtexassets.com/arquivos/ids/754499-500-auto?v=638022226492570000&width=500&height=auto&aspect=true,Jumbo
Led 65 Crystal Uhd Samsung 4k Smart Tv,$999.999,SAMSUNG,https://jumboargentinaio.vtexassets.com/arquivos/ids/761130-500-auto?v=638053331053430000&width=500&height=auto&aspect=true,Jumbo
Smart Tv 55 Samsung 4k Uhd Un55cu7000,$734.999,SAMSUNG,https://jumboargentinaio.vtexassets.com/arquivos/ids/799811-500-auto?v=638348926883200000&width=500&height=auto&aspect=true,Jumbo
Smart Tv 50 Samsung 4k Uhd Un50cu7000,$566.999,SAMSUNG,https://jumboargentinaio.vtexassets.com/arquivos/ids/799812-500-auto?v=638348926886900000&width=500&height=auto&aspect=true,Jumbo
Led 55' Samsung 4k,$679.999,SAMSUNG,https://jumboargentinaio.vtexassets.com/arquivos/ids/668778-500-auto?v=637684729263770000&width=500&height=auto&aspect=true,Jumbo
Smart Tv 65 4k Qled Q65b Samsung,$1.253.999,SAMSUNG,https://jumboargentinaio.vtexassets.com/arquivos/ids/741089-500-auto?v=637997421550400000&width=500&height=auto&aspect=true,Jumbo
Smart Tv 55 4k Qled Q65b Samsung,$883.499,SAMSUNG,https://jumboargentinaio.vtexassets.com/arquivos/ids/741085-500-auto?v=637997421540600000&width=500&height=auto&aspect=true,Jumbo
Tv 50 Bgh Android B5022us6a,$507.498,BGH,https://jumboargentinaio.vtexassets.com/arquivos/ids/781743-500-auto?v=638198589923430000&width=500&height=auto&aspect=true,Jumbo
"Qled 85"" Samsung Qn85q70aagczb",$3.514.999,SAMSUNG,https://jumboargentinaio.vtexassets.com/arquivos/ids/674300-500-auto?v=637713994721200000&width=500&height=auto&aspect=true,Jumbo
