description,price,image,market,quantity,unit
Mesa Carrefour Home plegable negro,"$ 21.900,00",https://carrefourar.vtexassets.com/arquivos/ids/237996-170-170?v=637830525882530000&width=170&height=170&aspect=true,Carrefour,,
Rack para microondas Centro Estant G blanco,"$ 78.900,00",https://carrefourar.vtexassets.com/arquivos/ids/165005-170-170?v=637467716789900000&width=170&height=170&aspect=true,Carrefour,,
Modulo  línea industrial,"$ 85.819,00",https://carrefourar.vtexassets.com/arquivos/ids/315618-170-170?v=638175094875270000&width=170&height=170&aspect=true,Carrefour,,
Sillon oficina Carrefour Home gamer pro negro,"$ 199.900,00",https://carrefourar.vtexassets.com/arquivos/ids/418232-170-170?v=638358482272200000&width=170&height=170&aspect=true,Carrefour,,
Taburete plegable Carrefour Home con respaldo rojo,"$ 9.900,00",https://carrefourar.vtexassets.com/arquivos/ids/255447-170-170?v=637980935812670000&width=170&height=170&aspect=true,Carrefour,,
Modulo  línea industrial,"$ 62.079,00",https://carrefourar.vtexassets.com/arquivos/ids/315642-170-170?v=638175094997170000&width=170&height=170&aspect=true,Carrefour,,
Silla de oficina Carrefour Home tela gris,"$ 99.900,00",https://carrefourar.vtexassets.com/arquivos/ids/345717-170-170?v=638230486170970000&width=170&height=170&aspect=true,Carrefour,,
Biblioteca Lisboa  paraíso y blanco,"$ 59.900,00",https://carrefourar.vtexassets.com/arquivos/ids/165115-170-170?v=637467717735900000&width=170&height=170&aspect=true,Carrefour,,
Banqueta Carrefour Home caño plegable verde,"$ 8.900,00",https://carrefourar.vtexassets.com/arquivos/ids/324190-170-170?v=638197689717170000&width=170&height=170&aspect=true,Carrefour,,
Organizador Centro Estant  blanco,"$ 67.900,00",https://carrefourar.vtexassets.com/arquivos/ids/199203-170-170?v=637535958866430000&width=170&height=170&aspect=true,Carrefour,,
Estante kit Centro Estant con soporte . wengué,"$ 11.559,00",https://carrefourar.vtexassets.com/arquivos/ids/165009-170-170?v=637467716820730000&width=170&height=170&aspect=true,Carrefour,60.0 x 20.0,
"Rack tv Centro Estant blanco tv hasta 55""","$ 89.900,00",https://carrefourar.vtexassets.com/arquivos/ids/337394-170-170?v=638221802141330000&width=170&height=170&aspect=true,Carrefour,,
Mesa de luz con cajón blanca,"$ 55.900,00",https://carrefourar.vtexassets.com/arquivos/ids/315608-170-170?v=638175094796270000&width=170&height=170&aspect=true,Carrefour,,
Organizador Centro Estant ORBL blanco,"$ 51.900,00",https://carrefourar.vtexassets.com/arquivos/ids/199071-170-170?v=637535958185830000&width=170&height=170&aspect=true,Carrefour,,
Mesa para TV Dielfe Industrial RE,"$ 85.999,00",https://carrefourar.vtexassets.com/arquivos/ids/165038-170-170?v=637467717082730000&width=170&height=170&aspect=true,Carrefour,,
Modulo  T Blanco,"$ 62.900,00",https://carrefourar.vtexassets.com/arquivos/ids/165007-170-170?v=637467716806670000&width=170&height=170&aspect=true,Carrefour,,
Silla comedor Carrefour Home blanca pp,"$ 34.900,00",https://carrefourar.vtexassets.com/arquivos/ids/418239-170-170?v=638358482359830000&width=170&height=170&aspect=true,Carrefour,,
Aceite de maíz Mazola clásico pet .,"$ 2.585,00",https://carrefourar.vtexassets.com/arquivos/ids/332918-170-170?v=638212187538200000&width=170&height=170&aspect=true,Carrefour,900.0,cc
Aceite de girasol Alsamar .,"$ 1.400,00",https://carrefourar.vtexassets.com/arquivos/ids/386415-170-170?v=638318587397530000&width=170&height=170&aspect=true,Carrefour,900.0,cc
Aceto Lira pet .,"$ 2.200,00",https://carrefourar.vtexassets.com/arquivos/ids/312494-170-170?v=638163243607970000&width=170&height=170&aspect=true,Carrefour,250.0,cc
Jugo de limón Minerva pet .,"$ 599,00",https://carrefourar.vtexassets.com/arquivos/ids/182590-170-170?v=637468589438630000&width=170&height=170&aspect=true,Carrefour,250.0,cc
Vinagre de vino Menoyo .,"$ 1.255,00",https://carrefourar.vtexassets.com/arquivos/ids/209175-170-170?v=637643048815900000&width=170&height=170&aspect=true,Carrefour,500.0,cc
Aceto reducción Lira pet .,"$ 2.750,00",https://carrefourar.vtexassets.com/arquivos/ids/312440-170-170?v=638163243432370000&width=170&height=170&aspect=true,Carrefour,250.0,cc
Vinagre de alcohol Favinco pet .,"$ 916,00",https://carrefourar.vtexassets.com/arquivos/ids/231783-170-170?v=637753489949630000&width=170&height=170&aspect=true,Carrefour,1.0,l
Aceto reducción Lira pet .,"$ 5.225,00",https://carrefourar.vtexassets.com/arquivos/ids/312464-170-170?v=638163243515330000&width=170&height=170&aspect=true,Carrefour,500.0,cc
Aceite de oliva Nucete extra virgen .,"$ 7.500,00",https://carrefourar.vtexassets.com/arquivos/ids/256443-170-170?v=637987835475770000&width=170&height=170&aspect=true,Carrefour,500.0,cc
Aceite de girasol Cocinero plus .,"$ 3.060,00",https://carrefourar.vtexassets.com/arquivos/ids/155432-170-170?v=637457062452100000&width=170&height=170&aspect=true,Carrefour,1.5,l
Vinagre de vino Menoyo .,"$ 1.890,00",https://carrefourar.vtexassets.com/arquivos/ids/209173-170-170?v=637643047497130000&width=170&height=170&aspect=true,Carrefour,1.0,l
Aceite de oliva extra virgen Cocinero intenso .,"$ 8.325,00",https://carrefourar.vtexassets.com/arquivos/ids/204442-170-170?v=637592983639200000&width=170&height=170&aspect=true,Carrefour,500.0,cc
Aceite mezcla Cocinero girasol oliva pet .,"$ 3.550,00",https://carrefourar.vtexassets.com/arquivos/ids/254582-170-170?v=637974856232000000&width=170&height=170&aspect=true,Carrefour,900.0,ml
Aceite de girasol Cocinero ecobotella .,"$ 1.800,00",https://carrefourar.vtexassets.com/arquivos/ids/422953-170-170?v=638373948257230000&width=170&height=170&aspect=true,Carrefour,900.0,cc
Jugo de limón Menoyo .,"$ 608,00",https://carrefourar.vtexassets.com/arquivos/ids/209178-170-170?v=637643050693230000&width=170&height=170&aspect=true,Carrefour,250.0,cc
Aceto reducción ahumado Menoyo .,"$ 2.150,00",https://carrefourar.vtexassets.com/arquivos/ids/217089-170-170?v=637697370601230000&width=170&height=170&aspect=true,Carrefour,250.0,cc
"Smart tv 55"" Samsung  neo qled qn","$ 2.419.999,00",https://carrefourar.vtexassets.com/arquivos/ids/372511-170-170?v=638303134073000000&width=170&height=170&aspect=true,Carrefour,,
Cable HDMI Noga,"$ 3.599,00",https://carrefourar.vtexassets.com/arquivos/ids/322000-170-170?v=638189266951130000&width=170&height=170&aspect=true,Carrefour,,
"Smart TV android 75"" Philips  8507","$ 1.499.999,00",https://carrefourar.vtexassets.com/arquivos/ids/262529-170-170?v=638035187266370000&width=170&height=170&aspect=true,Carrefour,,
"Soporte movil lcd/led de 26"" a 60""","$ 69.900,00",https://carrefourar.vtexassets.com/arquivos/ids/156881-170-170?v=637467542754730000&width=170&height=170&aspect=true,Carrefour,,
Control remoto WIZ smart con baterías,"$ 17.890,00",https://carrefourar.vtexassets.com/arquivos/ids/253331-170-170?v=637951614450300000&width=170&height=170&aspect=true,Carrefour,,
"Soporte de TV para Pared 10"" A 42""","$ 19.900,00",https://carrefourar.vtexassets.com/arquivos/ids/156812-170-170?v=637467542130030000&width=170&height=170&aspect=true,Carrefour,,
"Smart tv android 32"" TCL fhd l","$ 299.999,00",https://carrefourar.vtexassets.com/arquivos/ids/422889-170-170?v=638373192774900000&width=170&height=170&aspect=true,Carrefour,,
Cable HDMI Noga,"$ 5.599,00",https://carrefourar.vtexassets.com/arquivos/ids/322001-170-170?v=638189266959370000&width=170&height=170&aspect=true,Carrefour,,
"Soporte de TV para Pared con Brazo 17"" A 42""","$ 25.900,00",https://carrefourar.vtexassets.com/arquivos/ids/156608-170-170?v=637467462546100000&width=170&height=170&aspect=true,Carrefour,,
"Smart TV UHD  50"" BGH GOOGLE TV B","$ 506.999,00",https://carrefourar.vtexassets.com/arquivos/ids/420676-170-170?v=638363545376200000&width=170&height=170&aspect=true,Carrefour,6.0,g
"Smart tv miniled android 65"" TCL","$ 1.499.999,00",https://carrefourar.vtexassets.com/arquivos/ids/419836-170-170?v=638361974360530000&width=170&height=170&aspect=true,Carrefour,,
"Soporte de TV para Pared Fijo One For All 19"" a 42"" WM","$ 10.900,00",https://carrefourar.vtexassets.com/arquivos/ids/156893-170-170?v=637467542861230000&width=170&height=170&aspect=true,Carrefour,,
"Soporte fijo TGW lcd/led de 13"" a 42"" HSTV","$ 17.900,00",https://carrefourar.vtexassets.com/arquivos/ids/156880-170-170?v=637467542746270000&width=170&height=170&aspect=true,Carrefour,,
